Category,Component,Description,Part Number,Price,Supplier,Paid,,Estimates
,,Wiper Motor,WWM2, $59.99 ,CJ Pony Parts,Y,,
,,Wiper Pump and Bottle,,,,,, $50.00 
,Mirrors,Rear,,,,,, $50.00 
,,Side,,,,,, $50.00 
,Glass ,WINDSHIELD,X3670, $176.00 ,Dynacorn,Y,,
,,WINDOW/REAR,X3671, $176.00 ,Dynacorn,Y,,
,,VENT WINDOW ASSY RH ,3641FD, $359.00 ,Dynacorn,Y,,
,,VENT WINDOW ASSY LH,3641FE, $359.00 ,Dynacorn,Y,,
,,DOOR GLASS KITS RH,3614D, $237.00 ,Dynacorn,Y,,
,,DOOR GLASS KITS LH,3614E, $237.00 ,Dynacorn,Y,,
,Chrome Trim/Moldings/Grille,Grille,M3628, $48.00 ,Dynacorn,Y,,
,,Grille Support Braces,M3637, $23.00 ,Dynacorn,Y,,
,,Grille Centre Joint Molding,M3636, $6.50 ,Dynacorn,Y,,
,,Grille Molding (RH) Wide,M3644, $15.00 ,Dynacorn,Y,,
,,Grille Molding (RH) Narrow,M3632, $7.65 ,Dynacorn,Y,,
,,Grille Molding (LH) Wide,M3645, $15.00 ,Dynacorn,Y,,
,,Grille Molding (LH) Narrow,M3633, $7.65 ,Dynacorn,Y,,
,,MOLDING WINDSHIELD SET,M3658A, $55.00 ,Dynacorn,Y,,
,,MOLDING HOOD,M3641, $8.30 ,Dynacorn,Y,,
,,MOLDING HOOD LIP,M3641SS, $20.00 ,Dynacorn,Y,,
,,MOLDING WINDOW REAR SET,M3667A, $60.00 ,Dynacorn,Y,,
,,MOLDING TRUNK LID 1967-68 FASTBACK,M3680, $9.00 ,Dynacorn,Y,,
,,MOLDING QTR EXT RH,M3682, $8.00 ,Dynacorn,Y,,
,,MOLDING QTR EXT LH,M3683, $8.00 ,Dynacorn,Y,,
,,DOOR SCUFF PLATE,M3650A, $42.00 ,Dynacorn,Y,,
,,DOOR EDGE GUARD,M3662, $8.50 ,Dynacorn,Y,,
,,MOLDING DRIP RAIL,M3649, $39.50 ,Dynacorn,Y,,
,Seals and Weather Stripping,WINDOW GLASS RUNS,3607Q, $16.50 ,Dynacorn,Y,,
,,67-68 SPLASH SHIELD MOUNTING KIT,HW226, $3.90 ,CJ Pony Parts,Y,,
,,67-68 LH REAR SPLASH SHIELD,M215L, $19.52 ,CJ Pony Parts,Y,,
,,67-68 RH REAR SPLASH SHIELD,M215R, $19.52 ,CJ Pony Parts,Y,,
,,67-68 LH FRONT SPLASH SHIELD,M256L, $19.52 ,CJ Pony Parts,Y,,
,,67-68 RH FRONT SPLASH SHIELD,M256R, $19.53 ,CJ Pony Parts,Y,,
,,TRUNK WEATHERSTRIP,WSTR17, $12.74 ,CJ Pony Parts,Y,,
,,DOOR WEATHER STRIP,3608B, $18.50 ,Dynacorn,Y,,
,,SEAL DOOR TO WINDOW,3607N, $6.00 ,Dynacorn,Y,,
,,Cost,," $2,994.00 ",,,, $380.00 
,,,,,,,,
,,,,,,,,
PROJECT COST TO DATE,,,," $89,581.09 ",,,," $47,580.00 "
